similes,metaphors,expected,AN,topic,vehicle,event,option0,option1,option2,option3,human_idx,ans_idx
Thomas is as _ as a lark .,Thomas is a _ lark.,happy,happy lark,Thomas,lark,is,happy,unhappy,interested,sad,0,0
The library is so quiet . It is as _ as the grave .,The library is so quiet. It is a _ grave.,silent,silent grave,library,grave,is,empty,silent,grave,weak,1,1
Are you feeling ill ? You are as _ as a ghost .,Are you feeling ill? You are a _ ghost.,pale,pale ghost,You,ghost,are,dark,pale,creepy,white,1,1
She was as _ as a mouse .,She was a _ mouse.,quiet,quiet mouse,She,mouse,was,noisy,slow,ugly,quiet,3,3
The cave was as _ as night so we could not see anything .,The cave was a _ night so we could not see anything.,dark,dark night,cave,night,was,dark,cold,peaceful,light,0,0
Please add some water to the jug . The lime juice is as _ as vinegar .,Please add some water to the jug. The lime juice is _ vinegar.,sour,sour vinegar,juice,vinegar,is,orange,sour,bloody,bitter,1,1
Her skin is as _ as the snow .,Her skin is the _ snow.,white,white snow,skin,snow,is,pale,white,hard,beautiful,1,1
James disliked the taste of the medicine as it was as _ as a gall .,James disliked the taste of the medicine as it was _ gall.,bitter,bitter gall,medicine,gall,was,sharp,bitter,sweet,hard,1,1
Peter is as _ as a beanpole .,Peter is a _ beanpole.,skinny,skinny bean pole,Peter,pole,is,wooden,skinny,sick,strong,0,1
Sanjay was as _ as a hornet when his brother broke his favourite toy truck .,Sanjay was a _ hornet when his brother broke his favourite toy truck.,mad,mad hornet,Sanjay,hornet,was,super,religious,mad,happy,2,2
Molly 's face turned as _ as a tomato when she gave the wrong answer in class .,Molly's face was a _ tomato when she gave the wrong answer in class.,red,red tomato,face,tomato,turned,white,green,red,yellow,2,2
The boy who injured his leg walked as _ as a snail . We waited patiently for him .,The boy who injured his leg was a _ snail. We waited patiently for him.,slow,slow snail,boy,snail,walked,slow,little,quick,fast,0,0
Jason was as _ as a peacock after winning first place in the swimming competition.,Jason was a _ peacock after winning first place in the swimming competition.,proud,proud peacock,Jason,peacock,was,humble,drunk,proud,ashamed,2,2
The cheetah ran as _ as lightening .,The cheetah is a _ lightening when it runs.,fast,fast lightning,cheetah,lightening,ran,slow,fast,dangerous,loud,1,1
When the teacher was angry his voice was as _ as the thunder .,"When the teacher was angry, his voice was a _ thunder.",loud,loud thunder,voice,thunder,was,loud,soft,soft,deep,0,0
"After the ball was run over by the car , it was as _ as paper .","After the ball was run over by the car, it became a _ paper.",flat,flat paper,ball,paper,was,sharp,spherical,flat,opaque,2,2
The old lady is as _ as a baby .,The old lady is a _ baby.,weak,weak baby,lady,baby,is,innocent,weak,sexy,strong,0,1
Her teeth are as _ as pearls .,Her teech are _ pearls.,white,white pearls,teeth,pearls,are,pale,white,yellow,blue,1,1
My mother 's hair is as _ as a cloud .,My mother's hair is _ cloud.,soft,soft cloud,hair,cloud,is,hard,soft,smooth,thin,1,1
The truck is as _ as an elephant .,The truck is a _ elephant.,big,big elephant,truck,elephant,is,sized,big,little,fast,1,1
My mother is as _ as an angel .,My mother is a _ angel.,kind,kind angel,mother,angel,is,kind,slow,fast,little,0,0
the boy is running as _ as a cheetah .,The boy is a _ cheetah when he runs.,fast,fast cheetah,boy,cheetah,running,small,slow,quickly,fast,3,2
I love snorkelling in Pulau Redang because the water is as _ as crystal .,I love snorkeling in Pulau Redang because the water is _ crystal.,clear,clear crystal,water,crystal,is,blue,clear,fresh,pure,3,1
my husband is as _ as a mule he refuses to go to the doctor about his back .,"My husband is a _ mule, he refuses to go to the doctor about his neck.",stubborn,stubborn mule,husband,mule,is,dense,slow,poor,stubborn,3,3
Rahim has been as _ as a bee getting ready for school because he woke up late .,Rahim has been a _ bee getting ready for school because he woke up late.,busy,busy bee,Rahim,bee,been,yellow,idle,busy,bored,2,2
