sentence,metaphor,expected,Adj.+N.,topic,vehicle,event,option0,option1,option2,option3,human_idx,ans_idx
"I am disposed to be as _ as a queen , and you try to stir me up to restlessness !","I am disposed to be a _ queen, and you try to stir me up to restlessness!",content,content queen,I,queen,be,legal,sparse,fine,content,3,3
"numerous icebergs , some of which are as _ as cathedrals , and occasionally loaded with "" no inconsiderable blocks of rock , "" would be stranded on the outlying islets.","Numerous icebergs, some of which are _ cathedrals, and occasionally loaded with ""no inconsiderable blocks of rock"",  would be stranded on the outlying islets.",tall,tall cathedrals,icebergs,cathedrals,are,tall,expensive,short,ugly,0,0
This aspect is as _ as diamonds .,This aspect is a _ diamond.,rare,rare diamond,aspect,diamonds,is,valuable,rare,expensive,precious,1,1
"Recognizing a soulmate can be as _ as a moment in the sunshine , or a meeting of eyes over a cup of coffee .","Recognizing a soulmate is a _ moment in the sunshine, or a meeting of eyes over a cup of coffee.",sudden,sudden moment,Recognizing,moment,be,later,gradual,sudden,precious,2,2
"As long as you can drive away from their shop without toppling over or crashing into something or someone , you 're as _ as a bird .","As long as you can drive away from their shop without toppling over or crashing into something or someone, you're a _ bird.",free,free bird,you,bird,'re,like,free,early,fly,1,1
The Fraud Triangle Fraud is as _ as a virus and can be just as menacing .,Fraud is a _ virus and can be just as menacing .,common,common virus,Fraud,virus,is,common,popular,personal,rare,0,0
"Many eclipses are jarring , but not this one this one is as _ as a cupcake with vanilla icing , so it may be that your friend will do something for you that you find touching .","Many eclipses are jarring, but not this one. This one is a _ cupcake with vanilla icing, so it may be that your friend will do something for you that you find touching.",sweet,sweet cupcake,one,cupcake,is,bitter,delicious,dry,sweet,3,3
"How many of you guys would say no to dating a girl who is as _ as a cow , always silent ( apart from occassional sexy moos ) , and can make Pamela Anderson feel sorry with her udders ?","How many of you guys would say no to dating a girl who is a _ cow, always silent (apart from occassional sexy moos), and can make Pamela Anderson feel sorry with her udders?",healthy,healthy cow,girl,cow,is,holy,silly,cunning,healthy,3,3
"No , the room was not _ at all , but my heartoh , dismaymy heart was as _ as ice .","No, the room was not cold at all, but my heart, oh, dismay my heart was _ ice.",cold,cold ice,heart,ice,was,hot,cool,warmth,cold,3,3
"Irregular Choice is as _ as a child in a sweetie shop to announce our first Irregular Choice Kids collection will be launching this Friday at 12 pm ( UK Time ) Our fans have been asking owner and Designer Dan Sullivan to create a children 's ' collection for years and he has worked hard to make their dreams come true , developing this capsule kid In preparation for us launching our SWAN HEELS at midday tomorrow we are giving lucky fans the chance to WIN their very own Swan Planters filled with Irregular Choice flowers !","Irregular Choice is an _ child in a sweetie shop to announce our first Irregular Choice Kids collection will be launching this Friday at 12 pm ( UK Time ) Our fans have been asking owner and Designer Dan Sullivan to create a children's  collection for years and he has worked hard to make their dreams come true, developing this capsule kid In preparation for us launching our SWAN HEELS at midday tomorrow we are giving lucky fans the chance to WIN their very own Swan Planters filled with Irregular Choice flowers!",excited,excited child,Choice,child,is,excited,curious,small,fun,0,0
As I got closer to finally see what was in store for me Dan said my eyes were as _ as saucers and my jaw dropped .,"As I got closer to finally see what was in store for me, Dan said my eyes were the _ saucers and my jaw dropped.",big,big saucers,eyes,saucers,were,big,open,wide,little,0,0
"A car can become as _ as an oven very quickly , even when it does n't feel that warm .","A car can become a _ oven very quickly , even when it doesn't feel that warm.",hot,hot oven,car,oven,become,expensive,red,hot,cold,2,2
"Travel journals were as _ as theatergoing , and stories from the new world abounded .","Travel journals were _ theatergoing, and stories from the new world abounded.",popular,popular theatergoing,journals,theatergoing,were,popular,liked,unpopular,expensive,0,0
"Best of all , Stott 's text is as _ as Harlequin 's moves , his eye for humour and the need to clarify details for those unschooled in that period always as deft and sure .","Best of all, Stott's text is Harlequin's _ moves, his eye for humour and the need to clarify details for those unschooled in that period always as deft and sure.",light,light moves,text,moves,is,good,light,extravagant,fun,3,1
"car can be as _ as home itself : the safety belts , the side protection wings to delicately support the baby ?","Car is a _ home itself: the safety belts, the side protection wings to delicately support the baby.",comfortable,comfortable home,car,home,be,comfortable,cozy,heavy,uncomfortable,0,0
"The irony of my plastic works is that I take a material that was created to be touched , and I make it as _ as an artwork .","The irony of my plastic works is that I take a material that was created to be touched, and I make it an _ artwork.",inaccessible,inaccessible artwork,it,artwork,make,important,inaccessible,fun,sure,1,1
"The messengers of love should be as _ as thoughts, traveling ten times faster than sunbeams, pushing all doubts and fears away, as _ does to threatening shadows.","The messengers of love are _ thoughts, traveling ten times faster than sunbeams, pushing all doubts and fears away, as light does to threatening shadows.",light,light thoughts,oflove,thoughts,be,hard,simple,light,heavy,2,2
The water now was as _ as a sheet of glass and reflected in it was a magnificent magenta sunset - it was a perfect ending .,The water now was a sheet of _ glass and reflected in it was a magnificent magenta sunset - it was a perfect ending .,calm,calm glass,water,glass,was,clean,calm,fragile,sharp,0,1
GED Reasoning Through Language Arts : Literary Elements Have you ever been as _ as a bull when you 're trying to study and nothing seems to work ?,Have you ever been an _ bull when you're trying to study and nothing seems to work?,angry,angry bull,you,bull,been,large,dangerous,strong,angry,3,3
"Great herds of tame cattle grazed the pastures , the water in the streams was as _ as crystal and as fragrant as clover , while the hillsides shone with veins of white , black , and red marble and with deposits of every kind of precious metal .","Great herds of tame cattle grazed the pastures, the water in the streams was _ crystal and as fragrant as clover, while the hillsides shone with veins of white, black, and red marble and with deposits of every kind of precious metal.",clear,clear crystal,water,crystal,was,fresh,clear,deep,pure,1,1
You will be amazed to see your grapes will be as _ as sugar .,You will be amazed to see your grapes become _ sugar .,sweet,sweet sugar,grapes,sugar,be,bitter,green,sweet,sour,2,2
