masked sentence,expected
Thomas is as [MASK] as a lark.,happy
The library is so quiet. It is as [MASK] as the grave.,silent
Are you feeling ill? You are as [MASK] as a ghost.,pale
She was as [MASK] as a mouse.,quiet
The cave was as [MASK] as night so we could not see anything.,dark
Please add some water to the jug. The lime juice is as [MASK] as vinegar.,sour
Her skin is as [MASK] as the snow.,white
James disliked the taste of the medicine as it was as [MASK] as a gall.,bitter
Peter is as [MASK] as a beanpole.,skinny
Sanjay was as [MASK] as a hornet when his brother broke his favourite toy truck.,mad
Molly's face turned as [MASK] as a tomato when she gave the wrong answer in class.,red
The boy who injured his leg walked as [MASK] as a snail. We waited patiently for him.,slow
Jason was as [MASK] as a peacock after winning first place in the swimming competition.,proud
The cheetah ran as [MASK] as lightening.,fast
When the teacher was angry his voice was as [MASK] as the thunder.,loud
"After the ball was run over by the car, it was as [MASK] as paper.",flat
The old lady is as [MASK] as a baby.,weak
Her teeth are as [MASK] as pearls.,white
My mother's hair is as [MASK] as a cloud.,soft
The truck is as [MASK] as an elephant.,big
My mother is as [MASK] as an angel.,kind
the boy is running as [MASK] as a cheetah.,fast
I love snorkelling in Pulau Redang because the water is as [MASK] as crystal.,clear
my husband is as [MASK] as a mule he refuses to go to the doctor about his back.,stubborn
Rahim has been as [MASK] as a bee getting ready for school because he woke up late.,busy
Lindsey runs as [MASK] as as sloth.,slow
The water was as [MASK] as glass.,clean
The new smartphone is as [MASK] as a feather. It doesn't weigh a ton like the old model.,light
The class was as [MASK] as a zoo.,loud
My hands are as [MASK] as ice.,cold
He is as [MASK] as a fly buzzing around someone's ear.,annoying
His anger was as [MASK] as a burning ember.,hot
Liam jumps into the river to save the drowning cat. He is as [MASK] as a lion.,brave
Christine is as [MASK] as pie.,sweet
"John studies hard, he is as [MASK] as an owl.",wise
Mary is such a nice girl who is as [MASK] as a lamb.,gentle
The old man is as [MASK] as an ox when he lifts the heavy box.,strong
His mind is as [MASK] as a samurai's sword.,sharp
Her eyes are as [MASK] as the cloudless sky.,blue
Madam hee is as [MASK] as a queen because she has won a trip to japan.,happy
Barry won the first prize in the race. He was as [MASK] as a flash.,quick
She is as [MASK] as a toothpick.,skinny
Mrs. Aderhold's mind is as [MASK] as an arrow.,sharp
The classroom was as [MASK] as a tongue-tied librarian in a hybrid car.,quiet
my love for you is as [MASK] as the ocean.,deep
"After spending all day ice skating, the kids were as [MASK] as horses.",hungry
She is as [MASK] as the seabird going forth alone.,sad
Her dress was as [MASK] as the hawthorn buds in May.,white
"after the bath, I felt as [MASK] as a daisy.",fresh
the baby is as [MASK] as the moon.,beautiful
the doctor was as [MASK] as dove when she picked the baby.,gentle
Harvey wants a T-shirt that is as [MASK] as a coal.,black
The apples in the pie are as [MASK] as honey.,sweet
john is as [MASK] as fox.,sly
Puan Aminah's explanation is as [MASK] as crystal. All the pupils understand her lessons.,clear
Molly's eyes were as [MASK] as the sun.,bright
The baby was as [MASK] as candy.,sweet
the kitten's teeth were as [MASK] as knives.,sharp
The judges gave that gymnast the highest score because her movements were flawless and as [MASK] as a swan.,graceful
I could not lift the bag because it was as [MASK] as an elephant.,heavy
This box is as [MASK] as lead. Let me help you carry it.,heavy
Her face turned as [MASK] as a rose out of embarrassment after falling off her bicycle just now.,red
He runs as [MASK] as a deer.,fast
"Charlotte is as [MASK] as a mouse. She is frightened of loud noises, large people and just about anything in general.",shy
The Shokpa's head is as [MASK] as a rock.,hard
His nose was as [MASK] as a ripe strawberry.,red
My sister is as [MASK] as a giraffe!,tall
My grandfather is suffering from cancer and he is now as [MASK] as a rake.,thin
Mike Kennedy's coffee was as [MASK] as the snow that was falling outside.,cold
The mosquito's bite was as [MASK] as a tack.,sharp
She is as [MASK] as a baby. She has no idea how to go on from here.,helpless
The sidewalks were as [MASK] as glass freshly cleaned for the birthday party.,slippery
I am as [MASK] as a wolf. I can finish all the food on the table.,hungry
her hair is as [MASK] as night.,black
