Input Sentence,expected,Top-k Predicted Tokens,Associated Probabilities,Target Token Probability
"I am disposed to be a _ queen, and you try to stir me up to restlessness!",content,"['good', 'little', 'young', 'great', 'beautiful']","[0.0522344633936882, 0.03993501886725426, 0.0360955074429512, 0.02426718920469284, 0.020690973848104477]",8.382673695450649e-05
"Numerous icebergs, some of which are _ cathedrals, and occasionally loaded with ""no inconsiderable blocks of rock"",  would be stranded on the outlying islets.",tall,"['now', 'ice', 'rock', 'underwater', 'called']","[0.0599956288933754, 0.02948319911956787, 0.027517003938555717, 0.026961393654346466, 0.023198427632451057]",0.004093885
This aspect is a _ diamond.,rare,"['rare', 'true', 'natural', 'white', 'black']","[0.050358857959508896, 0.0449657216668129, 0.0348680280148983, 0.03113141655921936, 0.030079608783125877]",0.050358857959508896
"Recognizing a soulmate is a _ moment in the sunshine, or a meeting of eyes over a cup of coffee.",sudden,"['brief', 'rare', 'romantic', 'private', 'fleeting']","[0.1735546886920929, 0.07204678654670715, 0.05503574013710022, 0.04861956462264061, 0.04766827076673508]",0.002275575
"As long as you can drive away from their shop without toppling over or crashing into something or someone, you're a _ bird.",free,"['lucky', 'good', 'real', 'great', 'little']","[0.18669231235980988, 0.16049587726593018, 0.0821913555264473, 0.07540835440158844, 0.07439561188220978]",0.014141515828669071
Fraud is a _ virus and can be just as menacing .,common,"['deadly', 'dangerous', 'real', 'computer', 'serious']","[0.23449301719665527, 0.07491331547498703, 0.05332630127668381, 0.040158938616514206, 0.036360833793878555]",0.018805842846632004
"Many eclipses are jarring, but not this one. This one is a _ cupcake with vanilla icing, so it may be that your friend will do something for you that you find touching.",sweet,"['chocolate', 'pink', 'white', 'vanilla', 'giant']","[0.2782266438007355, 0.04771190509200096, 0.04607505351305008, 0.04218229278922081, 0.021692657843232155]",0.017604364082217216
"How many of you guys would say no to dating a girl who is a _ cow, always silent (apart from occassional sexy moos), and can make Pamela Anderson feel sorry with her udders?",healthy,"['wild', 'poor', 'little', 'big', 'fat']","[0.07691086083650589, 0.052111633121967316, 0.04566775634884834, 0.02624213695526123, 0.025092966854572296]",0.000149921
"No, the room was not cold at all, but my heart, oh, dismay my heart was _ ice.",cold,"['like', 'on', 'cold', 'just', 'pure']","[0.3322705328464508, 0.2103288322687149, 0.13075053691864014, 0.02401917241513729, 0.02320381999015808]",0.13075053691864014
"Irregular Choice is an _ child in a sweetie shop to announce our first Irregular Choice Kids collection will be launching this Friday at 12 pm ( UK Time ) Our fans have been asking owner and Designer Dan Sullivan to create a children's  collection for years and he has worked hard to make their dreams come true, developing this capsule kid In preparation for us launching our SWAN HEELS at midday tomorrow we are giving lucky fans the chance to WIN their very own Swan Planters filled with Irregular Choice flowers!",excited,"['all', 'excited', 'old', 'as', 'the']","[0.015110271982848644, 0.01202031783759594, 0.011940699070692062, 0.009152339771389961, 0.008848610334098339]",0.012020318
"As I got closer to finally see what was in store for me, Dan said my eyes were the _ saucers and my jaw dropped.",big,"['flying', 'biggest', 'big', 'usual', 'ultimate']","[0.2519417703151703, 0.12907564640045166, 0.07155928015708923, 0.05508765950798988, 0.033712103962898254]",0.07155928
"A car can become a _ oven very quickly , even when it doesn't feel that warm.",hot,"['microwave', 'hot', 'heat', 'steam', 'convection']","[0.4387325346469879, 0.07382094115018845, 0.05227096006274223, 0.029501480981707573, 0.024070484563708305]",0.073820941
"Travel journals were _ theatergoing, and stories from the new world abounded.",popular,"['mostly', 'also', 'often', 'primarily', 'still']","[0.1712576299905777, 0.1061357781291008, 0.08967188000679016, 0.03682373836636543, 0.03179597482085228]",0.013923631981015205
"Best of all, Stott's text is Harlequin's _ moves, his eye for humour and the need to clarify details for those unschooled in that period always as deft and sure.",light,"['first', 'best', 'signature', 'quick', 'bold']","[0.0878753662109375, 0.043958451598882675, 0.043607793748378754, 0.04323366656899452, 0.03303636610507965]",0.000169962
"Car is a _ home itself: the safety belts, the side protection wings to delicately support the baby.",comfortable,"['model', 'motor', 'real', 'true', 'baby']","[0.12035597115755081, 0.05890635773539543, 0.058857981115579605, 0.056400563567876816, 0.04642026126384735]",0.0024786
"The irony of my plastic works is that I take a material that was created to be touched, and I make it an _ artwork.",inaccessible,"['actual', 'original', 'artistic', 'abstract', 'art']","[0.15284278988838196, 0.08542998135089874, 0.07734748721122742, 0.051551468670368195, 0.047995515167713165]",1.0776993804029189e-05
"The messengers of love are _ thoughts, traveling ten times faster than sunbeams, pushing all doubts and fears away, as light does to threatening shadows.",light,"['my', 'human', 'like', 'their', 'pure']","[0.06254612654447556, 0.038520582020282745, 0.03837534412741661, 0.033636223524808884, 0.024462707340717316]",0.002092681
The water now was a sheet of _ glass and reflected in it was a magnificent magenta sunset - it was a perfect ending .,calm,"['clear', 'shimmering', 'dark', 'brilliant', 'black']","[0.3073975741863251, 0.047203969210386276, 0.03507108613848686, 0.03333669155836105, 0.03123648092150688]",7.616460061399266e-05
Have you ever been an _ bull when you're trying to study and nothing seems to work?,angry,"['all', 'even', 'honest', 'angry', 'anarchist']","[0.02041824720799923, 0.015889847651124, 0.011666270904242992, 0.010211615823209286, 0.009756079874932766]",0.010211615823209286
"Great herds of tame cattle grazed the pastures, the water in the streams was _ crystal and as fragrant as clover, while the hillsides shone with veins of white, black, and red marble and with deposits of every kind of precious metal.",clear,"['as', 'pure', 'sparkling', 'clear', 'liquid']","[0.4826853573322296, 0.1118677631020546, 0.04105784371495247, 0.027929438278079033, 0.02256905846297741]",0.027929438278079033
You will be amazed to see your grapes become _ sugar .,sweet,"['pure', 'a', 'like', 'liquid', 'brown']","[0.20573905110359192, 0.15023896098136902, 0.07255726307630539, 0.031022991985082626, 0.029381517320871353]",0.018933037295937538
He's _ gall at your desertion and its consequences: don't expect thanks for this noble devotion.,bitter,"['taken', 'got', 'taking', 'a', 'getting']","[0.18648669123649597, 0.13758890330791473, 0.11005685478448868, 0.08373522013425827, 0.056446559727191925]",7.491990982089192e-05
The bulls-eye is a _ chipmunk and doesn't move.,big,"['small', 'large', 'giant', 'little', 'tiny']","[0.06983201205730438, 0.05734432488679886, 0.039191003888845444, 0.03541078045964241, 0.029388826340436935]",0.029063086956739426
"But despite all the backstage drama, the show still churned out sketches that made us laugh hard and others that were _ grandma's Christmas fruitcake.",sweet,"['like', 'about', 'just', 'called', 'mostly']","[0.7142100930213928, 0.0332137756049633, 0.031790368258953094, 0.012970945797860622, 0.012787283398211002]",9.184195369016379e-05
"Better than a good many, for I am a _ lion, and all men aren't.",strong,"['good', 'great', 'mountain', 'wild', 'true']","[0.13802915811538696, 0.11169225722551346, 0.06030392274260521, 0.030896754935383797, 0.03074922040104866]",0.003345245
"For the space of half a year, the gunpowder is _ sand, because no fire came near to explode it.",harmless,"['like', 'in', 'only', 'just', 'not']","[0.14647334814071655, 0.13083238899707794, 0.1294460892677307, 0.10433444380760193, 0.06287418305873871]",4.400622856337577e-05
