idx,metaphor,expected,token_str,score
0,"I am disposed to be a _ queen, and you try to stir me up to restlessness!",content,"['queen', 'dowager', 'constitutional', 'restless', 'good']","[0.0429964810609817, 0.0407891944050788, 0.0309204813092947, 0.0302336886525154, 0.0301140118390321]"
1,"Numerous icebergs, some of which are _ cathedrals, and occasionally loaded with ""no inconsiderable blocks of rock"",  would be stranded on the outlying islets.",tall,"['cathedral', 'domed', '[PAD]', 'rock', 'actually']","[0.0822545811533927, 0.0475962422788143, 0.0322062894701957, 0.0316855460405349, 0.0265552829951047]"
2,This aspect is a _ diamond.,rare,"['rare', 'cut', 'common', 'complete', 'valuable']","[0.6585800647735596, 0.0345019623637199, 0.0147149674594402, 0.01396378967911, 0.0137419262900948]"
3,"Recognizing a soulmate is a _ moment in the sunshine, or a meeting of eyes over a cup of coffee.",sudden,"['rare', 'bright', 'defining', 'brief', 'unexpected']","[0.4019767045974731, 0.0682490542531013, 0.0422939136624336, 0.0337731391191482, 0.0221792310476303]"
4,"As long as you can drive away from their shop without toppling over or crashing into something or someone, you're a _ bird.",free,"['free', 'cage', 'happy', 'lucky', 'poor']","[0.9618588089942932, 0.0055037457495927, 0.002540246816352, 0.0021207218524068, 0.0020961435511708]"
5,Fraud is a _ virus and can be just as menacing .,common,"['deadly', 'common', 'computer', 'dangerous', 'natural']","[0.2048947662115097, 0.1869950294494629, 0.1233240664005279, 0.1125437542796135, 0.0177508667111396]"
6,"Many eclipses are jarring, but not this one. This one is a _ cupcake with vanilla icing, so it may be that your friend will do something for you that you find touching.",sweet,"['chocolate', 'vanilla', 'sweet', 'sugar', 'strawberry']","[0.295855313539505, 0.1145674660801887, 0.1078411117196083, 0.0625240951776504, 0.0609327293932437]"
7,"How many of you guys would say no to dating a girl who is a _ cow, always silent (apart from occassional sexy moos), and can make Pamela Anderson feel sorry with her udders?",healthy,"['sour', 'spoiled', 'stubborn', 'poor', 'voting']","[0.1544562578201294, 0.1112827137112617, 0.0755130276083946, 0.0645634159445762, 0.0384322479367256]"
8,"No, the room was not cold at all, but my heart, oh, dismay my heart was _ ice.",cold,"['like', 'on', 'cold', 'frozen', 'solid']","[0.2716265618801117, 0.166004940867424, 0.1356964409351349, 0.1254053711891174, 0.0291150119155645]"
9,"Irregular Choice is an _ child in a sweetie shop to announce our first Irregular Choice Kids collection will be launching this Friday at 12 pm ( UK Time ) Our fans have been asking owner and Designer Dan Sullivan to create a children's  collection for years and he has worked hard to make their dreams come true, developing this capsule kid In preparation for us launching our SWAN HEELS at midday tomorrow we are giving lucky fans the chance to WIN their very own Swan Planters filled with Irregular Choice flowers!",excited,"['excited', 'eager', 'enthusiastic', 'anxious', 'exciting']","[0.8357232213020325, 0.0197984296828508, 0.0131695941090583, 0.0125014642253518, 0.0076303468085825]"
10,"As I got closer to finally see what was in store for me, Dan said my eyes were the _ saucers and my jaw dropped.",big,"['ultimate', 'big', 'largest', 'flying', 'biggest']","[0.1925164312124252, 0.0980131924152374, 0.0833748430013656, 0.0710821971297264, 0.0403208248317241]"
