idx,Non-Metaphor,expected,token_str,score
0,"Now it was Cara's turn to give back.  She drew a _ breath and opened her hands, which had been clenched into fists.",deep,"['deep', 'slow', 'shuddering', 'shaky', 'ragged']","[0.8789011836051941, 0.0302960611879825, 0.0187763907015323, 0.0139872692525386, 0.0073211034759879]"
1,"Let's just have a _ time, all right? I don't want to think about a thing.",good,"['good', 'great', 'nice', 'little', 'quiet']","[0.9642306566238404, 0.0122961150482296, 0.0059628779999911, 0.0053682718425989, 0.0048093716613948]"
2,"I was unbearably hot. I flung the blanket off and sat up. My _ feet found relief on the cold hardwood floor, and I rubbed my eyes.",bare,"['bare', 'shuffling', 'dry', 'tired', 'cold']","[0.881489098072052, 0.0148434778675436, 0.008916518650949, 0.0083136139437556, 0.0065490272827446]"
3,He answered on the first ring. He was always awake when he got _ news about his mom. His father had booked the first flight home.,bad,"['bad', 'the', 'any', 'good', 'news']","[0.4151627719402313, 0.1364318579435348, 0.1275976747274398, 0.0538684502243995, 0.0465106144547462]"
4,Small fireworks from Pacaya Volcano seemed to flash orange and pink against the _ sky. ,blue,"['blue', 'night', 'dark', 'black', 'darkening']","[0.3370590806007385, 0.2513841688632965, 0.1346086263656616, 0.0664699375629425, 0.0300357602536678]"
5,"Loyalty is important to her, which is good news for Claudia. Pierre's _ hand rests on her knee, she cherishes its familiar touch.",free,"['warm', 'large', 'strong', 'right', 'left']","[0.3190025091171264, 0.1629821360111236, 0.0953803062438964, 0.0478886105120182, 0.0460653603076934]"
6,"Phyllis filled the sink with scalding _ water to wash the pots, bowls, and utensils before she used them.",hot,"['hot', 'boiling', 'cold', 'mineral', 'boil']","[0.918814778327942, 0.0099715376272797, 0.0075813746079802, 0.0062141190283, 0.0059853279963135]"
7,"Mrs. Yung call me a taxi? Instead I left on foot, thinking the _ air would do me good.  The streets are empty and a light rain.",fresh,"['fresh', 'clean', 'cleaner', 'cool', 'sea']","[0.9617173075675964, 0.0179760698229074, 0.0025537880137562, 0.0024321330711245, 0.0016863595228642]"
8,"I get up, but in the _ time it takes to get a towel and come back, Dean's fading out.",short,"['short', 'brief', 'small', 'little', 'limited']","[0.7149319052696228, 0.0607359521090984, 0.0522375144064426, 0.0503917895257473, 0.0326097831130027]"
9,Brad felt like he was watching a train wreck develop in _ motion and was powerless to stop it.,slow,"['slow', 'smooth', 'fast', 'perpetual', 'circular']","[0.99012553691864, 0.003412956604734, 0.0005231677787378, 0.0004949975409545, 0.0004067427071277]"
10,"Mrs. Breen smiled at him as the _ light of another streetlamp jolted by, and then, as darkness swept over her.",dim,"['bright', 'sudden', 'overhead', 'red', 'harsh']","[0.2232797592878341, 0.1370702087879181, 0.0444838888943195, 0.030664874240756, 0.0267589297145605]"
11,"Kicking his shoes off, he stretched his _ legs out, letting his feet dangle over the end of the coach.",long,"['long', 'hind', 'stiff', 'bare', 'skinny']","[0.903484344482422, 0.0139370486140251, 0.0136590115725994, 0.0060624391771852, 0.0050615426152944]"
12,"Lucas, and I didn't make a sound. Finally, after a _ pause, where everyone seemed to be trying to figure out what to do next.",long,"['long', 'brief', 'lengthy', 'tense', 'short']","[0.5693278312683105, 0.1038687527179718, 0.0682823732495307, 0.0581567846238613, 0.0569337308406829]"
13,The thought of it made him feel hot and he cracked the window. The _ air stung his eyes.,cold,"['cold', 'humid', 'cool', 'fresh', 'chill']","[0.1941943764686584, 0.0999011322855949, 0.0899574607610702, 0.0889037474989891, 0.0569374747574329]"
14,The parking lot has more potholes than a freeway. Tiny shards of _ glass litter the street like sparkling confetti.,broken,"['broken', 'shattered', 'shards', 'cracked', 'shattering']","[0.7130266427993774, 0.0990627408027648, 0.0257949326187372, 0.019436677917838, 0.0161190126091241]"
15,"The shirt was so loose Alan could see how his father's _ skin just hung to his frame, more skeleton than human.",pale,"['pale', 'dark', 'bare', 'smooth', 'thick']","[0.3224981427192688, 0.0993372201919555, 0.0644581839442253, 0.0442439541220665, 0.0390727184712886]"
16,The sound of Adam's _ voice drifted from the front room. ,deep,"['deep', 'gruff', 'rough', 'own', 'harsh']","[0.3737068474292755, 0.04282983019948, 0.0418944098055362, 0.0245578344911336, 0.0229201707988977]"
17,"She wanted to vanish into _ air, the thought of a farewell scene gave her the creeps. ",thin,"['thin', 'the', 'empty', 'bel', 'open']","[0.955650806427002, 0.0177255291491746, 0.0170395337045192, 0.0015915790572762, 0.0012428988702595]"
18,"I couldn't have imagined that one day this dear _ house, the scene of so many happy hours, would be stolen from me.",old,"['old', 'little', 'empty', '##ing', 'quiet']","[0.8548102974891663, 0.0130020333454012, 0.0107663758099079, 0.0062081394717097, 0.0052769007161259]"
19,"They take in these innocent children and beat all the creativity and _ will out of them, so they can mold them into sheep.",free,"['free', 'good', 'creative', 'animal', 'will']","[0.4015757143497467, 0.1301557719707489, 0.0586863383650779, 0.0173648614436388, 0.0153321120887994]"
20,"As she waited for the crosswalk light to change, she took a _ look down at herself and realized what a mess she was offering.",quick,"['quick', 'long', 'final', 'last', 'closer']","[0.2232031375169754, 0.1900084763765335, 0.156359314918518, 0.1472196280956268, 0.1246678903698921]"
