Input Sentence,expected,Top-k Predicted Tokens,Associated Probabilities,Target Token Probability
Thomas is a _ lark.,happy,"['beautiful', 'good', 'gentle', 'magnificent', 'superb']","[0.11606814712285995, 0.032292988151311874, 0.022065643221139908, 0.021413080394268036, 0.01879764348268509]",0.008317208
The library is so quiet. It is a _ grave.,silent,"['quiet', 'deep', 'beautiful', 'cold', 'sad']","[0.13169227540493011, 0.07414829730987549, 0.05113941803574562, 0.04475752264261246, 0.041950516402721405]",0.040801033
Are you feeling ill? You are a _ ghost.,pale,"['walking', 'living', 'real', 'freaking', 'beautiful']","[0.3732832670211792, 0.07309070974588394, 0.04862251132726669, 0.03339068219065666, 0.031165001913905144]",0.015725579112768173
She was a _ mouse.,quiet,"['little', 'lab', 'frightened', 'damn', 'cave']","[0.13609860837459564, 0.027461569756269455, 0.02663545496761799, 0.02536145970225334, 0.02272295020520687]",0.001590098
The cave was a _ night so we could not see anything.,dark,"['dark', 'black', 'clear', 'quiet', 'cloudy']","[0.8094964027404785, 0.0357544831931591, 0.030384397134184837, 0.012802627868950367, 0.010762731544673443]",0.8094964027404785
Please add some water to the jug. The lime juice is _ vinegar.,sour,"['in', 'pure', 'a', 'like', 'not']","[0.14964835345745087, 0.14830929040908813, 0.12109038978815079, 0.11965727061033249, 0.047774188220500946]",0.000198282
Her skin is the _ snow.,white,"['white', 'first', 'same', 'perfect', 'melting']","[0.19024185836315155, 0.04927460849285126, 0.04642026498913765, 0.04151182621717453, 0.0382048673927784]",0.19024185836315155
James disliked the taste of the medicine as it was _ gall.,bitter,"['a', 'stomach', 'chicken', 'beef', 'pork']","[0.0660703256726265, 0.03329508379101753, 0.03279881179332733, 0.026025572791695595, 0.022746020928025246]",0.001470365
Peter is a _ beanpole.,skinny,"['little', 'giant', 'big', 'cartoon', 'pet']","[0.03374506160616875, 0.02766631543636322, 0.01926722377538681, 0.018549548462033272, 0.016020817682147026]",0.001641373
Sanjay was a _ hornet when his brother broke his favourite toy truck.,mad,"['flying', 'green', 'real', 'jealous', 'red']","[0.21860982477664948, 0.10235586017370224, 0.060856930911540985, 0.03274032101035118, 0.026400189846754074]",0.00067905
Molly's face was a _ tomato when she gave the wrong answer in class.,red,"['red', 'pink', 'purple', 'bright', 'giant']","[0.6053379774093628, 0.03177787363529205, 0.023899560794234276, 0.022760989144444466, 0.019484274089336395]",0.6053379774093628
The boy who injured his leg was a _ snail. We waited patiently for him.,slow,"['dead', 'small', 'little', 'giant', 'poor']","[0.07003273069858551, 0.047557469457387924, 0.03690458834171295, 0.029163958504796028, 0.0233918447047472]",0.009054434
Jason was a _ peacock after winning first place in the swimming competition.,proud,"['successful', 'blue', 'young', 'golden', 'trained']","[0.0887591540813446, 0.08076535910367966, 0.032333310693502426, 0.026559270918369293, 0.01823544129729271]",0.012932288460433483
The cheetah is a _ lightening when it runs.,fast,"['constant', 'natural', 'gentle', 'little', 'beautiful']","[0.12641142308712006, 0.0424039289355278, 0.03835957124829292, 0.031409624963998795, 0.030899804085493088]",0.010003514587879181
"When the teacher was angry, his voice was a _ thunder.",loud,"['distant', 'raging', 'roaring', 'rolling', 'booming']","[0.05379576236009598, 0.03916439414024353, 0.037633005529642105, 0.037055179476737976, 0.03659491613507271]",0.019275533
"After the ball was run over by the car, it became a _ paper.",flat,"['toilet', 'crumpled', 'sports', 'tissue', 'discarded']","[0.1008620336651802, 0.05706155300140381, 0.052763041108846664, 0.04900854825973511, 0.029265986755490303]",0.001464352
The old lady is a _ baby.,weak,"['little', 'beautiful', 'big', 'small', 'happy']","[0.12144274264574051, 0.11383742839097977, 0.04426790401339531, 0.04133043810725212, 0.03447854518890381]",0.001931116
Her teech are _ pearls.,white,"['like', 'black', 'white', 'tiny', 'dark']","[0.2685707211494446, 0.11777964234352112, 0.04965604841709137, 0.023726532235741615, 0.017932910472154617]",0.049656048
My mother's hair is _ cloud.,soft,"['a', 'all', 'another', 'her', 'one']","[0.9913051128387451, 0.001470844610594213, 0.0013658342650160193, 0.0006121565820649266, 0.0005678344750776887]",5.080006303614937e-06
The truck is a _ elephant.,big,"['white', 'stuffed', 'black', 'red', 'miniature']","[0.1460537612438202, 0.08215907961130142, 0.05025201663374901, 0.03199625760316849, 0.030802767723798752]",0.003298735
My mother is a _ angel.,kind,"['guardian', 'fallen', 'dark', 'beautiful', 'true']","[0.266818106174469, 0.157550647854805, 0.05403870716691017, 0.03895552083849907, 0.02999112755060196]",0.001394021
The boy is a _ cheetah when he runs.,fast,"['little', 'big', 'wild', 'huge', 'small']","[0.06641305238008499, 0.060632847249507904, 0.0343719981610775, 0.026587244123220444, 0.024921538308262825]",0.003066883
I love snorkeling in Pulau Redang because the water is _ crystal.,clear,"['like', 'pure', 'a', 'all', 'solid']","[0.4048933982849121, 0.175029918551445, 0.13643178343772888, 0.021696463227272034, 0.020656563341617584]",0.003360515
"My husband is a _ mule, he refuses to go to the doctor about his neck.",stubborn,"['poor', 'sick', 'broken', 'dead', 'blind']","[0.1548859179019928, 0.0739598274230957, 0.028148064389824867, 0.026266060769557953, 0.0212395042181015]",0.020403150469064713
