idx,metaphors,expected,token_str,score
0,Thomas is a _ lark.,happy,"['lark', 'happy', 'perfect', 'natural', 'good']","[0.4171895384788513, 0.1141444519162178, 0.0587089248001575, 0.0533193424344062, 0.0202440340071916]"
1,The library is so quiet. It is a _ grave.,silent,"['silent', 'quiet', 'deep', 'sad', 'shallow']","[0.5249378085136414, 0.2125729471445083, 0.0243152044713497, 0.0135656641796231, 0.0121773639693856]"
2,Are you feeling ill? You are a _ ghost.,pale,"['walking', 'pale', 'living', 'freaking', 'white']","[0.368289440870285, 0.3335659503936767, 0.1205320060253143, 0.0388819649815559, 0.0157758370041847]"
3,She was a _ mouse.,quiet,"['poor', 'quiet', 'shy', 'frightened', 'nervous']","[0.1858727186918258, 0.141506090760231, 0.0670284405350685, 0.0333744250237941, 0.0281831137835979]"
4,The cave was a _ night so we could not see anything.,dark,"['dark', 'black', 'silent', 'night', 'quiet']","[0.9623128175735474, 0.0085726454854011, 0.0061842571012675, 0.0035027763806283, 0.003473324002698]"
5,Please add some water to the jug. The lime juice is _ vinegar.,sour,"['pure', 'slightly', 'like', 'a', 'sour']","[0.3144959509372711, 0.1088823452591896, 0.0629347711801529, 0.0337559543550014, 0.0294593460857868]"
6,Her skin is the _ snow.,white,"['white', 'perfect', 'same', 'frozen', 'melting']","[0.3503991067409515, 0.0680412948131561, 0.0619219429790973, 0.0503427609801292, 0.0455037578940391]"
7,James disliked the taste of the medicine as it was _ gall.,bitter,"['bitter', '[PAD]', 'pure', 'common', 'mouth']","[0.0904946327209472, 0.0767383947968483, 0.0712476223707199, 0.0355621688067913, 0.0312195904552936]"
8,Peter is a _ beanpole.,skinny,"['skinny', 'stubborn', '##pole', 'busy', '[PAD]']","[0.1803898960351944, 0.0688504129648208, 0.0489243753254413, 0.0431034490466117, 0.0394907779991626]"
9,Sanjay was a _ hornet when his brother broke his favourite toy truck.,mad,"['spitting', 'mad', 'giant', 'angry', 'flying']","[0.1617520898580551, 0.1245093047618866, 0.0387892313301563, 0.0360134467482566, 0.0292019695043563]"
10,Molly's face was a _ tomato when she gave the wrong answer in class.,red,"['red', 'tomato', 'bright', 'purple', 'raw']","[0.9027770757675172, 0.0501695163547992, 0.0185540840029716, 0.0080889537930488, 0.001426609000191]"
11,The boy who injured his leg was a _ snail. We waited patiently for him.,slow,"['slow', 'snail', 'desert', 'poor', 'stubborn']","[0.8940136432647705, 0.0321618281304836, 0.0083786891773343, 0.0053772935643792, 0.0026394689921289]"
