Input Sentence,expected,Top-k Predicted Tokens,Associated Probabilities,Target Token Probability
"Now it was Cara's turn to give back.  She drew a _ breath and opened her hands, which had been clenched into fists.",deep,"['deep', 'ragged', 'shaky', 'sharp', 'slow']","[0.7847115993499756, 0.03416755050420761, 0.025771819055080414, 0.022726789116859436, 0.021403439342975616]",0.7847115993499756
"Let's just have a_time, all right? I don't want to think about a thing.",good,"['good', 'little', 'nice', 'quiet', 'great']","[0.5417323112487793, 0.2870141267776489, 0.05517543852329254, 0.050937771797180176, 0.02835211344063282]",0.5417323112487793
"I was unbearably hot. I flung the blanket off and sat up. My _ feet found relief on the cold hardwood floor, and I rubbed my eyes.",bare,"['bare', 'cold', 'tired', 'numb', 'wet']","[0.9343174695968628, 0.008632004261016846, 0.007453149184584618, 0.005572730675339699, 0.005333281122148037]",0.9343174695968628
He answered on the first ring. He was always awake when he got _ news about his mom. His father had booked the first flight home.,bad,"['the', 'bad', 'any', 'good', 'some']","[0.8526704907417297, 0.08011958003044128, 0.02892615832388401, 0.01332744862884283, 0.006550657097250223]",0.08011958
Small fireworks from Pacaya Volcano seemed to flash orange and pink against the_sky.,blue,"['night', 'blue', 'dark', 'clear', 'black']","[0.38016027212142944, 0.14710326492786407, 0.10331565886735916, 0.03871855139732361, 0.038579005748033524]",0.14710326492786407
"Loyalty is important to her, which is good news for Claudia. Pierre's _ hand rests on her knee, she cherishes its familiar touch.",free,"['warm', 'large', 'strong', 'big', 'cool']","[0.40287378430366516, 0.11256880313158035, 0.10463197529315948, 0.03279142454266548, 0.031155237928032875]",0.009234717
"Phyllis filled the sink with scalding _ water to wash the pots, bowls, and utensils before she used them.",hot,"['hot', 'cold', 'boiling', 'warm', 'mineral']","[0.9226995706558228, 0.019483892247080803, 0.005411369260400534, 0.005382566712796688, 0.0044256956316530704]",0.9226995706558228
"Mrs. Yung call me a taxi? Instead I left on foot, thinking the _ air would do me good.  The streets are empty and a light rain.",fresh,"['fresh', 'cool', 'clean', 'night', 'cold']","[0.6546501517295837, 0.03346893936395645, 0.03248729184269905, 0.029397666454315186, 0.02742401883006096]",0.6546501517295837
"I get up, but in the _ time it takes to get a towel and come back, Dean's fading out.",short,"['short', 'little', 'brief', 'small', 'tiny']","[0.8948734998703003, 0.03937292844057083, 0.02772398851811886, 0.018554503098130226, 0.004674962256103754]",0.8948734998703003
Brad felt like he was watching a train wreck develop in _ motion and was powerless to stop it.,slow,"['slow', 'smooth', 'fast', 'quick', 'rapid']","[0.9924411773681641, 0.0016124502290040255, 0.001138846273534, 0.0008035189821384847, 0.0005453841877169907]",0.9924411773681641
"Mrs. Breen smiled at him as the _ light of another streetlamp jolted by, and then, as darkness swept over her.",dim,"['bright', 'dim', 'red', 'faint', 'flickering']","[0.12483080476522446, 0.10260754823684692, 0.09808805584907532, 0.05061883106827736, 0.03903009369969368]",0.10260754823684692
"Kicking his shoes off, he stretched his _ legs out, letting his feet dangle over the end of the coach.",long,"['long', 'bare', 'short', 'tired', 'back']","[0.8993176221847534, 0.030710363760590553, 0.0039337314665317535, 0.00319231441244483, 0.0019778457935899496]",0.8993176221847534
"Lucas, and I didn't make a sound. Finally, after a _ pause, where everyone seemed to be trying to figure out what to do next.",long,"['long', 'short', 'brief', 'lengthy', 'little']","[0.8269783854484558, 0.05115218833088875, 0.03236861899495125, 0.013410195708274841, 0.008493537083268166]",0.8269783854484558
The thought of it made him feel hot and he cracked the window. The _ air stung his eyes.,cold,"['cold', 'cool', 'chill', 'night', 'humid']","[0.4206865727901459, 0.16421367228031158, 0.04524307698011398, 0.03695591911673546, 0.028898077085614204]",0.4206865727901459
The parking lot has more potholes than a freeway. Tiny shards of _ glass litter the street like sparkling confetti.,broken,"['broken', 'shattered', 'flying', 'cracked', 'jagged']","[0.8452692031860352, 0.06032182276248932, 0.008912619203329086, 0.0066252038814127445, 0.005141363479197025]",0.8452692031860352
"The shirt was so loose Alan could see how his father's _ skin just hung to his frame, more skeleton than human.",pale,"['dark', 'pale', 'tanned', 'black', 'white']","[0.29545173048973083, 0.16945910453796387, 0.051760729402303696, 0.04494151845574379, 0.041130129247903824]",0.16945910453796387
The sound of Adam's _ voice drifted from the front room. ,deep,"['deep', 'familiar', 'soft', 'gruff', 'raised']","[0.27396053075790405, 0.04841906204819679, 0.047815050929784775, 0.04578724130988121, 0.02728116698563099]",0.27396053075790405
"She wanted to vanish into _ air, the thought of a farewell scene gave her the creeps. ",thin,"['thin', 'the', 'empty', 'open', 'fresh']","[0.9731112122535706, 0.021814363077282906, 0.002625728026032448, 0.0005382223171181977, 0.00038657497498206794]",0.9731112122535706
"I couldn't have imagined that one day this dear _ house, the scene of so many happy hours, would be stolen from me.",old,"['old', 'little', 'white', 'empty', 'beautiful']","[0.7759997248649597, 0.1590065211057663, 0.010081841610372066, 0.003059490118175745, 0.0019315192475914955]",0.7759997248649597
"They take in these innocent children and beat all the creativity and _ will out of them, so they can mold them into sheep.",free,"['free', 'good', 'creative', 'the', 'political']","[0.39924460649490356, 0.3214457929134369, 0.04282887279987335, 0.019687917083501816, 0.01878572441637516]",0.39924460649490356
"As she waited for the crosswalk light to change, she took a _ look down at herself and realized what a mess she was offering.",quick,"['quick', 'long', 'closer', 'last', 'good']","[0.32140350341796875, 0.17704415321350098, 0.11954594403505325, 0.10854804515838623, 0.08796223998069763]",0.32140350341796875
"Thumped into something. She glanced down, but the thick _ smoke proved an impenetrable barrier. Fingers tracking across the-hands! Someone's hands.",black,"['black', 'gray', 'white', 'red', 'blue']","[0.3965110182762146, 0.13288690149784088, 0.07032053172588348, 0.042367979884147644, 0.039552394300699234]",0.3965110182762146
"It had been a _ walk from the subway, enough blocks for me to start to come to my senses.",long,"['long', 'short', 'good', 'nice', 'pleasant']","[0.678387463092804, 0.2634929418563843, 0.014742708764970303, 0.005373548250645399, 0.00358439888805151]",0.678387463
"Because he took every hard-luck case, and put in such _ hours, he was soon down almost to skin and bones.",long,"['long', 'hard', 'late', 'short', 'difficult']","[0.2630660831928253, 0.12316155433654785, 0.05118469148874283, 0.033294983208179474, 0.02608281373977661]",0.2630660831928253
"Nilima would cry late into the night, and Jitendra would soothe her with his _ voice emerging from those delicate lips. ",soft,"['soothing', 'soft', 'gentle', 'sweet', 'tender']","[0.20729708671569824, 0.18582114577293396, 0.14109644293785095, 0.1214769259095192, 0.024032335728406906]",0.18582114577293396
"As one teacher noted, I think day-to-day they're getting some _ life skills that maybe in more traditional classrooms they don't get.",real,"['basic', 'new', 'real', 'special', 'advanced']","[0.5347861647605896, 0.11503893882036209, 0.041324932128190994, 0.02843744494020939, 0.02159000001847744]",0.041324932128190994
Making a living is fundamental to one's personhood and stake in society. _speechis of little value to a propertyless person.,free,"['free', 'a', 'public', 'political', 'the']","[0.8848870396614075, 0.009009665809571743, 0.006247944198548794, 0.00581603217869997, 0.004581819288432598]",0.8848870396614075
"In a student's_years, a free and appropriate public education often focuses on developing foundational skills such as language, literacy, and mathematics, as well as behavior.",early,"['early', 'younger', 'school', 'preschool', 'older']","[0.6715155243873596, 0.07468630373477936, 0.05573165416717529, 0.017122680321335793, 0.016750888898968697]",0.6715155243873596
A progressive loss of navigational abilities in _ageis now a well-established fact both in rodents and humans.,old,"['old', 'this', 'middle', 'advanced', 'that']","[0.5307737588882446, 0.11754126846790314, 0.08360885083675385, 0.03175634890794754, 0.019799916073679924]",0.5307737588882446
There is a good liberal egalitarian case for intervention to support those cultures grounded in the aim of diminishing the effects of _ luck in the distribution of endowments.,bad,"['good', 'bad', 'ill', 'poor', 'positive']","[0.7979357242584229, 0.15570205450057983, 0.00721356924623251, 0.004310919903218746, 0.0026440888177603483]",0.15570205450057983
"Armed with an intense devotion to God, a strong sense of family life, and an acceptance of the unpredictability of life, the Pilgrims founded a society whose _ goal was group survival.",primary,"['ultimate', 'primary', 'main', 'principal', 'sole']","[0.35068589448928833, 0.2951151132583618, 0.10106748342514038, 0.052513487637043, 0.01885305717587471]",0.2951151132583618
Even the most experienced secondary care nurse would find her first few days in _ care a real eye-opener.,primary,"['primary', 'secondary', 'health', 'intensive', 'tertiary']","[0.5273230075836182, 0.10973550379276276, 0.05993012338876724, 0.057176072150468826, 0.030962005257606506]",0.5273230075836182
Cigarette smokers are at an _ risk of postoperative healing of surgical wounds and bones and severe pulmonary and cardiovascular complications.,increased,"['increased', 'increasing', 'elevated', 'additional', 'extreme']","[0.9222984910011292, 0.042809680104255676, 0.012544358149170876, 0.003754163160920143, 0.002524159150198102]",0.9222984910011292
1990s and into the new millennium has been an art of community which has sought _ change on the basis of immanent involvement rather than dialectical opposition or deconstructive displacement.,social,"['social', 'for', 'to', 'cultural', 'political']","[0.5724200010299683, 0.11940164864063263, 0.10185486823320389, 0.01743161305785179, 0.016547590494155884]",0.5724200010299683
"Unhelpful finger-pointing and resentment should give way to _ideasand approaches targeted especially at building lawyers' professional skills and networks, as well as their technical legal skills.",new,"['new', 'innovative', 'other', 'alternative', 'broader']","[0.7053347229957581, 0.05731265991926193, 0.01054262276738882, 0.00597069226205349, 0.005901328753679991]",0.7053347229957581
"It has been estimated that 25% of students are bullied on a _ basis, and 20% of students have bullied their peers ",regular,"['regular', 'daily', 'weekly', 'voluntary', 'trial']","[0.3834620416164398, 0.12633506953716278, 0.06959594786167145, 0.0407351478934288, 0.02115085907280445]",0.3834620416164398
"Implicitly, he is targeting the government that it has failed in treating _people as human beings and that men's basic needs and their national rights are not available to them.",poor,"['the', 'all', 'its', 'indigenous', 'his']","[0.2783023715019226, 0.14438894391059875, 0.13432960212230682, 0.07497875392436981, 0.029608312994241714]",0.017138625
"The HPV vaccine does not increase risky sexual behaviors and has no _ effects on future pregnancy, but is not recommended for individuals who are presently pregnant.",negative,"['adverse', 'significant', 'negative', 'positive', 'direct']","[0.34053850173950195, 0.3043080270290375, 0.0735640674829483, 0.03847010061144829, 0.023588940501213074]",0.073564067
